Начало
BATCH_SIZE: 8, LR: 0.0005, CLIP None
Скорость обучения изменена. LR = 0.000031

Epoch: [83][30/97]	Batch Time 0.725 (2.849)	Data Time 0.001 (2.113)	Loss 2.3844 (inf)	
Epoch: [83][40/97]	Batch Time 0.731 (2.545)	Data Time 0.001 (1.810)	Loss 1.9424 (inf)	
Epoch: [83][50/97]	Batch Time 0.707 (2.535)	Data Time 0.000 (1.799)	Loss 2.4586 (inf)	
Epoch: [83][60/97]	Batch Time 0.689 (2.427)	Data Time 0.001 (1.697)	Loss 1.9335 (inf)	
Epoch: [83][70/97]	Batch Time 3.503 (2.385)	Data Time 2.833 (1.662)	Loss 1.6819 (inf)	
Epoch: [83][80/97]	Batch Time 0.674 (2.365)	Data Time 0.000 (1.647)	Loss 2.8581 (inf)	
Epoch: [83][90/97]	Batch Time 0.669 (2.308)	Data Time 0.001 (1.595)	Loss 1.5803 (inf)	
Epoch: [84][0/97]	Batch Time 23.076 (23.076)	Data Time 22.402 (22.402)	Loss 1.9252 (1.9252)	
Epoch: [84][10/97]	Batch Time 0.672 (3.454)	Data Time 0.001 (2.766)	Loss 2.8408 (2.3922)	
Epoch: [84][20/97]	Batch Time 5.012 (2.637)	Data Time 4.291 (1.947)	Loss 2.0321 (2.3240)	
Epoch: [84][30/97]	Batch Time 0.711 (2.341)	Data Time 0.001 (1.651)	Loss 2.0204 (2.3028)	
Epoch: [84][40/97]	Batch Time 1.650 (2.230)	Data Time 0.983 (1.537)	Loss 2.3096 (2.2960)	
Epoch: [84][50/97]	Batch Time 0.672 (2.089)	Data Time 0.000 (1.400)	Loss 2.2959 (2.3085)	
Epoch: [84][60/97]	Batch Time 0.668 (2.019)	Data Time 0.001 (1.333)	Loss 2.8776 (2.3278)	
Epoch: [84][70/97]	Batch Time 0.672 (1.960)	Data Time 0.000 (1.274)	Loss 2.5986 (2.3518)	
Epoch: [84][80/97]	Batch Time 0.680 (2.081)	Data Time 0.001 (1.396)	Loss 2.1578 (inf)	
Epoch: [84][90/97]	Batch Time 3.660 (1.976)	Data Time 2.972 (1.289)	Loss 2.7604 (inf)	
Epoch: [85][0/97]	Batch Time 23.914 (23.914)	Data Time 23.226 (23.226)	Loss 2.0573 (2.0573)	
Epoch: [85][10/97]	Batch Time 0.705 (3.896)	Data Time 0.001 (3.211)	Loss 3.1329 (2.4329)	
Epoch: [85][20/97]	Batch Time 0.943 (2.700)	Data Time 0.232 (2.013)	Loss 2.8641 (2.3539)	
Epoch: [85][30/97]	Batch Time 0.689 (2.994)	Data Time 0.001 (2.294)	Loss 2.4784 (2.3912)	
Epoch: [85][40/97]	Batch Time 1.943 (2.542)	Data Time 1.275 (1.846)	Loss 2.6048 (2.3419)	
Epoch: [85][50/97]	Batch Time 0.670 (2.415)	Data Time 0.000 (1.725)	Loss 2.6116 (2.3348)	
Epoch: [85][60/97]	Batch Time 7.542 (2.377)	Data Time 6.603 (1.685)	Loss 2.3551 (2.3444)	
Epoch: [85][70/97]	Batch Time 3.721 (2.208)	Data Time 3.047 (1.518)	Loss 2.5038 (inf)	
Epoch: [85][80/97]	Batch Time 0.670 (2.134)	Data Time 0.000 (1.446)	Loss 2.5068 (inf)	
Epoch: [85][90/97]	Batch Time 0.673 (2.118)	Data Time 0.001 (1.432)	Loss 1.9260 (inf)	
Epoch: [86][0/97]	Batch Time 26.984 (26.984)	Data Time 26.315 (26.315)	Loss 2.5088 (2.5088)	
Epoch: [86][10/97]	Batch Time 4.569 (3.739)	Data Time 3.676 (3.045)	Loss 1.9363 (inf)	
Epoch: [86][20/97]	Batch Time 0.665 (2.784)	Data Time 0.000 (2.100)	Loss 2.0765 (inf)	
Epoch: [86][30/97]	Batch Time 0.675 (2.488)	Data Time 0.001 (1.809)	Loss 2.3802 (inf)	
Epoch: [86][40/97]	Batch Time 0.665 (2.530)	Data Time 0.000 (1.850)	Loss 2.4172 (inf)	
Epoch: [86][50/97]	Batch Time 0.672 (2.344)	Data Time 0.001 (1.666)	Loss 2.0574 (inf)	
Epoch: [86][60/97]	Batch Time 1.580 (2.178)	Data Time 0.915 (1.499)	Loss 2.7688 (inf)	
Epoch: [86][70/97]	Batch Time 0.668 (2.077)	Data Time 0.001 (1.398)	Loss 2.5714 (inf)	
Epoch: [86][80/97]	Batch Time 0.670 (2.002)	Data Time 0.001 (1.324)	Loss 2.3448 (inf)	
Epoch: [86][90/97]	Batch Time 3.858 (1.998)	Data Time 3.049 (1.320)	Loss 2.9539 (inf)	
Epoch: [87][0/97]	Batch Time 25.640 (25.640)	Data Time 24.974 (24.974)	Loss 2.9549 (2.9549)	
Epoch: [87][10/97]	Batch Time 0.666 (3.999)	Data Time 0.000 (3.314)	Loss 2.0867 (2.2846)	
Epoch: [87][20/97]	Batch Time 4.157 (3.007)	Data Time 3.488 (2.329)	Loss 2.5832 (2.3177)	
Epoch: [87][30/97]	Batch Time 0.669 (2.546)	Data Time 0.001 (1.869)	Loss 2.3476 (2.3254)	
Epoch: [87][40/97]	Batch Time 0.670 (2.266)	Data Time 0.000 (1.586)	Loss 2.3828 (2.3062)	
Epoch: [87][50/97]	Batch Time 0.974 (2.166)	Data Time 0.304 (1.489)	Loss 2.8689 (2.3131)	
Epoch: [87][60/97]	Batch Time 0.668 (2.196)	Data Time 0.001 (1.520)	Loss 2.3108 (2.3425)	
